,Country,Utility,Document_link,Date_start,Date_end,$local,Component,Unit,Charge,Tariff_code
2,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Variable 401-450,$/kWh,0.382,Tarifa 1 -R4 Tarifa Social con ahorro
1,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Fijo 401-450,$/bim,39.68,"Tarifa 1 -R4 Tarifa Social sin ahorro excedente 150 kWh/mes, por el consumo hasta 600 kWh/mes"
2,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Variable 401-450,$/kWh,0.634,"Tarifa 1 -R4 Tarifa Social sin ahorro excedente 150 kWh/mes, por el consumo hasta 600 kWh/mes"
1,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Fijo 401-450,$/bim,,Tarifa 1 -R4 Tarifa Social sin ahorro por el excedente de 600 kWh/mes
2,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Variable 401-450,$/kWh,,Tarifa 1 -R4 Tarifa Social sin ahorro por el excedente de 600 kWh/mes
1,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Fijo 401-450,$/bim,44.15,Tarifa 1 -R4 Tarifa Social con ahorro
2,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Variable 401-450,$/kWh,0.417,Tarifa 1 -R4 Tarifa Social con ahorro
1,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Fijo 401-450,$/bim,44.15,"Tarifa 1 -R4 Tarifa Social sin ahorro excedente 150 kWh/mes, por el consumo hasta 600 kWh/mes"
2,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Variable 401-450,$/kWh,0.669,"Tarifa 1 -R4 Tarifa Social sin ahorro excedente 150 kWh/mes, por el consumo hasta 600 kWh/mes"
1,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Fijo 401-450,$/bim,,Tarifa 1 -R4 Tarifa Social sin ahorro por el excedente de 600 kWh/mes
2,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Variable 401-450,$/kWh,,Tarifa 1 -R4 Tarifa Social sin ahorro por el excedente de 600 kWh/mes
1,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Fijo 451-500,$/bim,59.52,Tarifa 1 -R5 Tarifa Social con ahorro
2,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Variable 451-500,$/kWh,0.431,Tarifa 1 -R5 Tarifa Social con ahorro
1,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Fijo 451-500,$/bim,59.52,"Tarifa 1 -R5 Tarifa Social sin ahorro excedente 150 kWh/mes, por el consumo hasta 600 kWh/mes"
2,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Variable 451-500,$/kWh,0.684,"Tarifa 1 -R5 Tarifa Social sin ahorro excedente 150 kWh/mes, por el consumo hasta 600 kWh/mes"
1,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Fijo 451-500,$/bim,,Tarifa 1 -R5 Tarifa Social sin ahorro por el excedente de 600 kWh/mes
2,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Variable 451-500,$/kWh,,Tarifa 1 -R5 Tarifa Social sin ahorro por el excedente de 600 kWh/mes
1,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Fijo 451-500,$/bim,66.23,Tarifa 1 -R5 Tarifa Social con ahorro
2,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Variable 451-500,$/kWh,0.473,Tarifa 1 -R5 Tarifa Social con ahorro
1,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Fijo 451-500,$/bim,66.23,"Tarifa 1 -R5 Tarifa Social sin ahorro excedente 150 kWh/mes, por el consumo hasta 600 kWh/mes"
2,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Variable 451-500,$/kWh,0.726,"Tarifa 1 -R5 Tarifa Social sin ahorro excedente 150 kWh/mes, por el consumo hasta 600 kWh/mes"
1,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Fijo 451-500,$/bim,,Tarifa 1 -R5 Tarifa Social sin ahorro por el excedente de 600 kWh/mes
2,Argentina,EDESUR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Variable 451-500,$/kWh,,Tarifa 1 -R5 Tarifa Social sin ahorro por el excedente de 600 kWh/mes
1,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Fijo 501-600,$/bim,79.36,Tarifa 1 -R6 Tarifa Social con ahorro
2,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Variable 501-600,$/kWh,0.464,Tarifa 1 -R6 Tarifa Social con ahorro
1,Argentina,EDENOR,https://www.enre.gov.ar/web/Tarifasd.nsf/todoscuadros/0A852DD6B52020210325823B005E0586?opendocument,2017-08-01,2017-08-31,ARS,Cargo Fijo 501-600,$/bim,79.36,"Tarifa 1 -R6 Tarifa Social sin ahorro excedente 150 kWh/mes, por el consumo hasta 600 kWh/mes"
